iter	MultiRMSE
0	1.882977696
1	1.779867266
2	1.687927033
3	1.599666752
4	1.525806638
5	1.453964756
6	1.386907554
7	1.327072264
8	1.268822427
9	1.221443612
10	1.172565963
11	1.13032163
12	1.090300464
13	1.052654441
14	1.017355911
15	0.9870486796
16	0.9559214994
17	0.9285732376
18	0.901514679
19	0.8768809193
20	0.8544972781
21	0.8334841544
22	0.8123227386
23	0.7923364984
24	0.7731077546
25	0.7555336869
26	0.738984679
27	0.7226612048
28	0.7071747408
29	0.692551702
30	0.6782911841
31	0.6647729566
32	0.6518161376
33	0.6392144296
34	0.6253506737
35	0.613580591
36	0.6006388643
37	0.5898773105
38	0.5792295535
39	0.5690726446
40	0.5594093275
41	0.5497739066
42	0.5401005069
43	0.5307586287
44	0.5219629869
45	0.5138595974
46	0.5057890578
47	0.4957239142
48	0.487866053
49	0.4801634979
50	0.4723205052
51	0.46543929
52	0.458397024
53	0.4517193557
54	0.445479648
55	0.4387746393
56	0.4309309673
57	0.4246523931
58	0.4179063603
59	0.4115916089
60	0.4057166472
61	0.4002294833
62	0.3948102459
63	0.3897986552
64	0.3836289781
65	0.3784954775
66	0.3724327828
67	0.3675997485
68	0.3629156474
69	0.3586065587
70	0.3541248106
71	0.3499642059
72	0.3462239942
73	0.3420673026
74	0.3369331585
75	0.3330146776
76	0.3292563017
77	0.325531437
78	0.3218820896
79	0.3184748403
80	0.3142564202
81	0.3107926085
82	0.3075228095
83	0.303824981
84	0.300745581
85	0.2971824139
86	0.2939991415
87	0.29103235
88	0.2879600451
89	0.2852036196
90	0.2815844755
91	0.2789625606
92	0.2754067237
93	0.2728739871
94	0.2703015669
95	0.2675746203
96	0.2650806295
97	0.26190165
98	0.2592551018
99	0.256857332
