iter	Passed	Remaining
0	688	68112
1	1216	59601
2	1741	56293
3	2265	54375
4	2800	53217
5	3341	52351
6	3987	52975
7	4712	54199
8	5441	55018
9	6183	55651
10	6927	56052
11	7668	56236
12	8417	56332
13	9131	56096
14	9856	55851
15	10583	55560
16	11290	55126
17	11981	54580
18	12686	54084
19	13409	53639
20	14119	53117
21	14829	52578
22	15534	52005
23	16241	51432
24	16940	50821
25	17655	50249
26	18384	49705
27	19099	49113
28	19802	48481
29	20520	47881
30	21216	47224
31	21929	46599
32	22627	45941
33	23339	45305
34	24034	44636
35	24745	43992
36	25443	43322
37	26142	42653
38	26878	42040
39	27557	41336
40	28244	40644
41	28948	39975
42	29645	39297
43	30349	38626
44	31057	37959
45	31766	37290
46	32457	36601
47	33155	35917
48	33858	35240
49	34553	34553
50	35271	33888
51	35960	33194
52	36650	32501
53	37349	31815
54	38036	31120
55	38736	30435
56	39440	29753
57	40139	29066
58	40826	28371
59	41533	27689
60	42233	27001
61	42932	26313
62	43635	25627
63	44338	24940
64	45027	24245
65	45725	23555
66	46411	22859
67	47105	22167
68	47812	21481
69	48505	20788
70	49197	20094
71	49893	19403
72	50592	18712
73	51304	18025
74	52017	17339
75	52709	16645
76	53406	15952
77	54114	15263
78	54820	14572
79	55522	13880
80	56216	13186
81	56915	12493
82	57607	11799
83	58298	11104
84	58989	10409
85	59685	9716
86	60393	9024
87	61099	8331
88	61806	7638
89	62501	6944
90	63253	6255
91	63986	5564
92	64678	4868
93	65370	4172
94	66055	3476
95	66764	2781
96	67453	2086
97	68154	1390
98	68858	695
99	69548	0
