#,case,V1,V2,V3,V4,V5,V6,V7,V8,V9,Cooling,Lighting,Equipment,Total
0,1,14.39911709,0.718599408,8.177898325,0.772921724,13.08698547,0.921118831,24.3082827,23.08947193,17,50981.65004,7358.808,49383.83103,107724.2891
1,2,13.46509237,0.933266108,6.392510947,0.809027348,13.28862399,0.720257057,23.68057088,25.08860124,19,63502.74164,8542.56762,47052.02019,119097.3295
2,3,14.36832024,0.939088845,7.742126557,0.922164104,13.31248677,0.944674266,25.32327644,28.8158894,19,63317.84276,11792.94435,61823.27727,136934.0644
3,4,13.2345743,0.821960988,7.285128622,0.831474931,12.39797701,0.7732332,23.71617372,24.61252503,17,53150.96477,7052.07219,39272.70654,99475.7435
4,5,13.97868008,0.791476377,7.493433544,0.827747772,11.32913376,0.980639057,24.67115249,23.07475042,17,49871.57769,7221.19659,45512.99142,102605.7657
5,6,11.63887937,0.914407677,5.399501848,0.941278929,13.8319225,0.774608201,25.33592172,21.6295641,19,60449.22327,8395.10043,52671.46287,121515.7866
6,7,11.04165039,0.835140656,6.214127719,0.883438827,12.02081819,0.91655971,24.70112679,23.24862235,18,59990.89898,7277.83953,49649.74089,116918.4794
7,8,11.84122331,0.751342598,4.626179943,0.756249953,14.02977119,0.913345107,24.62218947,23.33976943,18,59306.35064,4638.03066,57744.10923,121688.4905
8,9,13.69762224,0.887738555,6.497381121,0.765218658,12.4022714,0.804845406,24.19820666,25.57844945,17,52179.61236,5788.34145,40892.45526,98860.40907
9,10,14.86167559,0.889170903,5.149009203,0.940940646,12.71346851,0.731010607,24.86865394,23.35416071,17,46681.66217,5640.48186,38073.01221,90395.15624
10,11,14.58786096,0.817199278,7.32300771,0.764996956,12.696081,0.780746188,23.91431223,29.09991818,17,53139.33229,6521.97903,40607.76252,100269.0738
11,12,14.4403543,0.720601541,5.87320737,0.833193112,13.40157311,0.763090905,24.89908143,21.64566634,17,46057.68186,5697.06594,41894.93916,93649.68696
12,13,15.49177763,0.77754173,5.864684798,0.824031553,13.14683989,0.787074716,24.98173453,25.37764965,17,46945.90978,5626.24755,42390.33435,94962.49168
13,14,13.99381615,0.899453558,5.820929032,0.760709892,14.41746447,0.883765875,23.41845328,27.1263088,18,63332.10214,5870.25822,57418.03137,126620.3917
14,15,13.59264719,0.978655579,6.063239156,0.794575024,14.60100816,0.819925146,24.11748293,23.27765932,19,64151.69167,7957.8066,58852.89102,130962.3893
15,16,13.90003865,0.805302877,5.443544329,0.754274853,13.18727674,0.937725043,24.86818037,24.76926154,18,55974.63157,5443.23546,55725.35184,117143.2189
16,17,14.79403437,0.853783789,5.762310412,0.846554197,11.89739372,0.874029132,25.3474779,26.50871427,19,56638.07751,8057.59065,51119.72361,115815.3918
17,18,13.73834567,0.810314432,7.442388743,0.812551053,10.83641901,0.978864411,24.32735819,23.63920437,17,51060.15402,7040.33289,43454.80764,101555.2946
18,19,15.49137084,0.813005423,7.24155065,0.800735345,10.58677865,0.714640863,25.15300366,24.43415397,17,43443.26999,6750.73188,30994.25355,81188.25542
19,20,14.79314854,0.845892191,6.962535637,0.849940966,13.42194381,0.980756324,24.63356107,25.38546014,19,62486.03433,9774.8475,64712.36478,136973.2466
20,21,13.64074772,0.789282067,6.485191258,0.818835961,11.87706981,0.823499431,24.95014815,22.06777777,18,51573.62795,7039.8849,44075.2509,102688.7638
21,22,14.18256147,0.961914175,7.162955636,0.87789208,11.96207369,0.891145651,25.10943379,22.41820527,17,48808.02109,7320.88581,43670.14695,99799.05385
22,23,13.88968756,0.774415623,4.734428998,0.733484783,12.74548433,0.750771257,24.14322907,24.66587158,19,58662.65005,5736.04434,47040.80409,111439.4985
23,24,11.63044325,0.765616612,6.335522708,0.830444041,12.977657,0.971131463,25.19839527,26.28856013,18,60269.60435,6974.91,56793.21939,124037.7337
24,25,13.55212328,0.936356736,7.224133761,0.787590261,13.35138972,0.729519089,24.21071779,23.33536275,19,60806.1623,9398.09772,47882.17509,118086.4351
25,26,14.74864878,0.890299346,5.230009826,0.80667617,13.68740101,0.994324338,23.69992548,22.00430356,18,59234.4695,5593.03416,61329.75579,126157.2595
26,27,12.5521702,0.763197557,7.456726634,0.787831334,13.03432047,0.82594091,24.84077273,20.80564632,18,53980.56486,7788.02493,48513.15756,110281.7474
27,28,14.17870317,0.802054053,5.347598512,0.79676894,12.99275747,0.81388389,24.85878059,25.05986825,19,57927.78077,7037.92944,51984.57975,116950.29
28,29,12.71780981,0.903168066,7.214258816,0.816976224,12.80735343,0.815993141,23.9777755,24.5990069,18,59856.50307,7813.52439,47094.27186,114764.2993
29,30,12.70655021,0.965945736,8.317970981,0.885774388,12.57912215,0.907320307,24.12994767,24.97994459,17,56607.70248,8577.7005,46756.33371,111941.7367
30,31,12.57907139,0.811589524,6.356750792,0.794639415,14.23579939,0.799652709,24.88451197,27.7573295,19,64146.52616,8343.70584,55962.10311,128452.3351
31,32,15.05039712,0.793675146,7.56347328,0.885597645,11.83431119,0.910049181,24.41414943,28.29038719,18,56397.28561,8879.80599,48532.20531,113809.2969
32,33,14.18826549,0.754596601,6.235817166,0.826448264,12.41157116,0.814413483,24.48485893,25.56901629,17,49751.64281,5999.83524,41409.61557,97161.09362
33,34,14.03691754,0.858592182,5.18440614,0.857827348,13.19151997,0.93800126,23.43011644,26.24436041,17,56728.22487,5177.60682,50690.63748,112596.4692
34,35,13.69624168,0.837156405,5.131673443,0.796525449,13.85115622,0.776657197,24.83436593,26.51197506,17,50957.64388,4758.70674,44070.18567,99786.53629
35,36,13.52843221,0.950440927,5.350237511,0.758767224,13.68369582,0.707590408,25.32475058,27.56232647,17,49947.90494,4726.1964,39665.67552,94339.77686
36,37,11.13153986,0.829870923,7.434630644,0.748697031,11.54702329,0.79190837,23.93155575,25.91437465,19,67228.05753,9194.31459,44952.69327,121375.0654
37,38,13.04015001,0.969374931,6.924261856,0.76929664,12.3693635,0.896598036,24.7028064,26.25957149,19,64067.42268,8798.7525,54520.00368,127386.1789
38,39,14.04094307,0.802200401,7.67109433,0.862245992,10.37544655,0.989509382,25.03447773,22.25563754,18,51961.73226,8768.68158,46264.60746,106995.0213
39,40,13.28447844,0.803724823,6.990897539,0.953147081,13.25888057,0.716873711,24.69188151,24.67591501,17,50038.90904,7757.52564,38938.47984,96734.91452
40,41,12.34610405,0.807173979,7.740184907,0.850467411,13.92106982,0.77485607,24.28502891,26.81079733,18,60755.51109,8726.79615,48608.90316,118091.2104
41,42,13.46540645,0.80669494,7.845836377,0.89539592,12.95803127,0.857770524,24.21022229,21.93989433,17,51684.18556,8178.70818,45534.40338,105397.2971
42,43,14.08258895,0.755722983,8.704907503,0.751996819,12.60041035,0.813913162,25.1514592,23.29281788,18,51688.5957,8678.12547,46215.21084,106581.932
43,44,12.65237972,0.781242678,4.552059169,0.856005517,10.92802674,0.980088138,25.33599332,25.57730965,17,50005.62807,4536.43503,43876.94502,98419.00812
44,45,13.50897306,0.860970796,5.965328856,0.775761865,12.85716304,0.898541683,24.87991173,27.31205147,19,62476.50991,7643.92911,56792.90874,126913.3478
45,46,13.14498433,0.795493085,6.146674334,0.903413126,12.74879475,0.89294649,24.59528543,26.62029978,19,63208.80025,9172.34346,55963.55499,128344.6987
46,47,11.67171788,0.867266243,4.958413084,0.883424082,12.93000974,0.872013986,24.33065459,23.01123015,18,59953.25474,5807.07855,50809.44966,116569.783
47,48,13.4132438,0.782220252,4.797095588,0.800737138,12.05508756,0.76230309,24.06828687,26.90947069,18,56465.09233,5092.30233,41411.43042,102968.8251
48,49,14.03705274,0.809410882,5.494332927,0.853238152,11.32757137,0.946523872,24.76432401,29.09722363,19,61447.41366,7743.53004,52708.3125,121899.2562
