#,case,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Cooling,Lighting, Equipment,C+L,C+L+E
0,1,230,0.79006377,0.564490852,0.855004291,0.432550391,0.250021954,2.200443412,0.54289555,0.630121373,0.611279546,0.468345134,0.544926383,68867.18645,12225.73212,51617.8656,81092.91857,132710.7842
1,2,230,1.017081469,0.428491183,0.777860435,0.261084438,0.47070093,1.44329926,0.612661139,0.437763667,0.469547037,0.474435254,0.468085339,73308.19961,13813.93188,51617.8656,87122.13149,138739.9971
2,3,20,0.484453127,0.499788735,1.017120881,0.34892029,0.252582713,2.797894429,0.500477051,0.505104396,0.419095463,0.684480752,0.560221573,65211.1466,12337.80156,51617.8656,77548.94816,129166.8138
3,4,80,0.906017693,0.697903869,0.733984444,0.311931188,0.495117026,1.768352257,0.408447242,0.330328287,0.447397877,0.46855331,0.627627475,73523.5738,12841.29,51617.8656,86364.8638,137982.7294
4,5,320,0.846256698,0.436611982,0.715806638,0.326478359,0.450553718,1.02364413,0.303222957,0.496187689,0.619390919,0.443496279,0.499228695,73709.29127,13143.438,51617.8656,86852.72927,138470.5949
5,6,250,0.477453209,0.430760652,0.529240431,0.396177574,0.248368941,2.383003267,0.446937153,0.465821987,0.343176641,0.383463393,0.729503108,65663.73313,12780.03636,51617.8656,78443.76949,130061.6351
6,7,290,0.674597085,0.464478219,0.471856869,0.361809682,0.388962404,2.505340196,0.356259604,0.353034685,0.350609731,0.392304703,0.561230904,68941.0067,14752.51344,51617.8656,83693.52014,135311.3857
7,8,30,0.752103451,0.587107605,0.409251805,0.316945501,0.411362049,2.738914674,0.415469862,0.401869271,0.567290914,0.553569159,0.549657316,70981.64584,12582.26676,51617.8656,83563.9126,135181.7782
8,9,80,1.168779278,0.766772945,0.734783839,0.293673184,0.381987482,2.80777048,0.607873375,0.342185324,0.452409565,0.449009888,0.472165885,70154.88302,14108.11416,51617.8656,84262.99718,135880.8628
9,10,200,0.751534173,0.759425958,0.954020077,0.357424449,0.393595461,2.905308023,0.284910922,0.244019366,0.427454206,0.46926606,0.751682198,66562.87086,12671.81244,51617.8656,79234.6833,130852.5489
10,11,0,0.518016731,0.672252646,1.002558171,0.364790796,0.385348473,1.879300715,0.533336272,0.501591755,0.481775011,0.322305483,0.756039505,67889.38233,12064.22028,51617.8656,79953.60261,131571.4682
11,12,10,0.772519863,0.770429577,0.691992834,0.414095293,0.183251323,1.865219124,0.472923114,0.298133265,0.647923062,0.623918565,0.505543357,65272.01329,12556.72152,51617.8656,77828.73481,129446.6004
12,13,270,0.507648706,0.698739836,0.845642128,0.194552652,0.456642123,1.634841297,0.35246806,0.530227338,0.414249992,0.548562784,0.753530806,72146.69234,11347.0308,51617.8656,83493.72314,135111.5887
13,14,30,0.761500656,0.662213618,0.407793749,0.253815067,0.322722546,1.718055074,0.49702207,0.334961287,0.403216988,0.546730683,0.570215207,67434.03156,13280.778,51617.8656,80714.80956,132332.6752
14,15,310,0.532627958,0.763594426,1.053626854,0.362529462,0.370822114,1.28133656,0.458329078,0.335251257,0.497798975,0.41285491,0.629724885,69097.05655,13059.93528,51617.8656,82156.99183,133774.8574
15,16,50,0.588900448,0.545518448,0.432853894,0.398316952,0.48458796,1.794401961,0.42332516,0.513733115,0.481471857,0.492553257,0.750999632,75069.73008,11390.70492,51617.8656,86460.435,138078.3006
16,17,30,0.882888716,0.455592711,0.588799409,0.34665864,0.491998331,1.107631121,0.513351708,0.445910103,0.620250832,0.479108299,0.469245862,76463.00514,13120.0902,51617.8656,89583.09534,141200.9609
17,18,80,0.742237776,0.578081845,0.996693083,0.468818367,0.3238623,1.006790204,0.682088993,0.438954223,0.428495012,0.365253127,0.574512489,71056.47325,13357.41372,51617.8656,84413.88697,136031.7526
18,19,190,0.952090954,0.640344846,0.836393352,0.290120408,0.333110615,1.755314383,0.389923008,0.287092047,0.452770425,0.447265631,0.485279097,66575.01128,15030.76428,51617.8656,81605.77556,133223.6412
19,20,170,0.447701733,0.767874258,0.740880705,0.474974239,0.151131278,2.442992019,0.339665077,0.615148759,0.538167381,0.510681102,0.632021589,64519.9667,12071.08728,51617.8656,76591.05398,128208.9196
20,21,210,0.790961744,0.783478933,1.048573818,0.173557521,0.287002376,1.82320987,0.365517123,0.569389419,0.339828941,0.403892049,0.525813634,63996.71111,14662.14372,51617.8656,78658.85483,130276.7204
21,22,240,0.546022359,0.776966857,0.838848701,0.372962918,0.171231643,2.613918625,0.482095411,0.357319157,0.574118219,0.359827489,0.499942193,63721.88396,13915.56348,51617.8656,77637.44744,129255.313
22,23,210,0.663435326,0.735245108,0.403350037,0.489293477,0.325589176,2.857478239,0.261659269,0.488490895,0.47522699,0.573872997,0.542043837,69714.22763,13109.103,51617.8656,82823.33063,134441.1962
23,24,190,1.049050245,0.651809569,0.81369157,0.314030889,0.240280447,1.74147572,0.431796473,0.338172469,0.469771425,0.377322325,0.511223782,65045.26495,14780.25612,51617.8656,79825.52107,131443.3867
24,25,340,0.896996339,0.614133943,0.705896612,0.326496973,0.416594819,1.177478371,0.244700192,0.265786139,0.546327922,0.496930984,0.706445607,69455.40386,12195.51732,51617.8656,81650.92118,133268.7868
25,26,10,0.816931531,0.704730276,0.428500116,0.178312959,0.355051932,1.682607586,0.247759323,0.676491627,0.642985044,0.44210959,0.660600209,67898.99395,11583.2556,51617.8656,79482.24955,131100.1152
26,27,40,0.799989538,0.507066003,0.893372939,0.290632667,0.244940944,1.138440243,0.301042,0.49261152,0.38913257,0.49438226,0.532474369,65672.8161,14448.71736,51617.8656,80121.53346,131739.3991
27,28,100,1.172367859,0.52351024,0.691417685,0.366949358,0.25866331,2.853153846,0.297628873,0.408877743,0.632574262,0.505386336,0.594691696,67457.76522,11973.02652,51617.8656,79430.79174,131048.6573
28,29,70,0.712615786,0.493154943,0.833564105,0.154795676,0.207979315,1.375193338,0.271899561,0.268769927,0.509014756,0.391818639,0.503077341,63446.21424,14982.69528,51617.8656,78428.90952,130046.7751
29,30,10,1.070971111,0.580154084,0.849228901,0.37517208,0.250876673,2.779216357,0.565047726,0.393810742,0.520191713,0.428393452,0.569503607,65809.1969,13020.10668,51617.8656,78829.30358,130447.1692
30,31,120,0.552529482,0.741778715,0.716079252,0.35438328,0.46810165,1.548108724,0.306190197,0.337498956,0.425616382,0.519112093,0.674898958,72250.19765,12447.67356,51617.8656,84697.87121,136315.7368
31,32,120,0.92130445,0.645537267,0.501283196,0.37449192,0.430953342,1.759158674,0.40352526,0.329504622,0.518019235,0.540159417,0.61357228,73746.85376,12283.41492,51617.8656,86030.26868,137648.1343
32,33,320,0.437410178,0.436418058,0.435472898,0.224794539,0.220040136,1.100616116,0.308403302,0.41839022,0.52992129,0.520158728,0.596139714,64925.58622,12865.18716,51617.8656,77790.77338,129408.639
33,34,280,0.762183011,0.75604128,0.979351103,0.345415814,0.213249077,1.183256966,0.214249593,0.571056549,0.542161299,0.368308288,0.558417677,65414.03048,13679.064,51617.8656,79093.09448,130710.9601
34,35,260,0.447121374,0.404970291,0.9860978,0.167445166,0.216000154,1.486061659,0.431363826,0.532270623,0.465705183,0.6717305,0.498252802,64717.94558,12694.61088,51617.8656,77412.55646,129030.4221
35,36,270,1.068805667,0.531169819,0.871765961,0.389450954,0.287616548,2.240728337,0.537928831,0.604101011,0.637613612,0.497692028,0.486178719,69715.83429,12505.90572,51617.8656,82221.74001,133839.6056
36,37,160,0.492990322,0.491191912,0.587211187,0.41559976,0.346997108,2.111732116,0.504408318,0.544172957,0.488323621,0.372512736,0.610595595,69309.06046,12948.96456,51617.8656,82258.02502,133875.8906
37,38,50,1.197251072,0.412360837,0.76844618,0.171828926,0.405075114,1.107880018,0.476735111,0.484800856,0.341039356,0.553190561,0.446190724,69518.26525,14881.61304,51617.8656,84399.87829,136017.7439
38,39,160,1.142829391,0.469670696,0.77522375,0.159229476,0.354557503,2.835316224,0.442576356,0.36841822,0.434122171,0.408384298,0.540359261,64983.69412,14233.36824,51617.8656,79217.06236,130834.928
39,40,0,0.479305807,0.470551077,0.585630275,0.218440165,0.321269145,1.896570098,0.448258829,0.498607478,0.446818171,0.428237502,0.475503234,65461.44875,14567.37912,51617.8656,80028.82787,131646.6935
40,41,130,1.181372555,0.455232716,0.598448541,0.201838127,0.206765012,2.83008198,0.267363548,0.448890572,0.417943193,0.569831786,0.541532023,63499.56647,13354.9416,51617.8656,76854.50807,128472.3737
