#,case,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,zong,dong,xi,nan,bei
0,1,270,0.169355566,0.109908242,0.759532968,0.771118783,0.452801756,0.764380924,0.547414726,0.351450615,0.52281643,0.553698614,0.749220928,0.739610686,0.302631256,0.31675763,57711.25227,7153.24926,9247.59597,11747.46519,29562.94185
1,2,340,0.167958154,0.205435921,0.669741891,0.433365128,0.728698617,0.559347281,0.390314998,0.504256373,0.390465373,0.433961146,0.837801036,0.642811602,0.289465599,0.282559501,67636.95468,10440.07341,13888.56309,23615.46585,19692.84906
2,3,240,0.159076713,0.160987549,0.82624534,0.54203727,0.633991349,0.814505242,0.272610971,0.404235609,0.578042654,0.465868523,0.612662013,0.719577067,0.309223145,0.24719495,63881.53626,9441.15381,8464.77105,15305.04534,30670.56606
3,4,260,0.155559586,0.172174893,0.681825206,0.775006328,0.779159253,0.665018996,0.532798941,0.292907597,0.41542307,0.531216061,0.89655461,0.79155299,0.290126148,0.290829791,69778.0068,9260.02197,11650.29387,17833.35375,31034.33721
4,5,90,0.147624334,0.177854438,0.554056309,0.778924617,0.525712639,0.707884087,0.348097991,0.544350217,0.553577113,0.335346414,0.852926103,0.743429262,0.29525691,0.352112412,67964.89644,11954.28615,8166.67785,27279.00054,20564.92863
5,6,100,0.174180764,0.179187553,0.492277058,0.401719182,0.839694663,0.463262712,0.299067515,0.391861261,0.535730297,0.485619262,0.8198242,0.598347131,0.270148192,0.286274631,69452.5437,12935.72433,5856.42285,34858.01361,15802.38618
6,7,70,0.134686725,0.174392665,0.631684917,0.637965888,0.591133638,0.331810142,0.331288793,0.678046019,0.661129768,0.389348072,0.871993795,0.773074971,0.239273278,0.290433509,56551.91628,10973.78973,8066.84148,24056.69022,13454.59812
7,8,200,0.145293146,0.149183325,0.598920542,0.697952324,0.503352546,0.644972623,0.47312718,0.571934038,0.486273168,0.530068871,0.560199304,0.883744225,0.315358398,0.320517322,54541.3764,10450.24311,8658.54798,12171.21141,23261.37717
8,9,350,0.182016837,0.132219715,0.638610969,0.851039208,0.56249247,0.58508013,0.357272926,0.607900086,0.453221431,0.374517959,0.85242669,0.794653146,0.306749318,0.296307097,59349.3882,8163.95067,18326.01522,18169.60458,14689.81773
9,10,180,0.141861953,0.199180698,0.685909603,0.698081891,0.709757947,0.644245682,0.424851731,0.462995901,0.502161012,0.489686919,0.728842965,0.920982885,0.343793353,0.299424073,68302.75611,16617.73779,10555.86738,18230.64894,22898.502
10,11,280,0.173322287,0.136908716,0.687721649,0.500515223,0.5250179,0.679935454,0.517320385,0.361729179,0.460642455,0.399944188,0.691515466,0.686323482,0.308327949,0.38682195,63714.46215,6783.63789,9185.74719,14839.06053,32906.01654
11,12,70,0.141201471,0.116000023,0.680686117,0.616515188,0.4301091,0.750009528,0.661464153,0.449186923,0.331889583,0.477865281,0.804988737,0.775955033,0.3414997,0.30265878,52420.39227,8038.95819,7030.96761,23730.59274,13619.87373
12,13,130,0.166032221,0.190944287,0.719396486,0.649010099,0.723806532,0.674868551,0.440242544,0.623787693,0.448766351,0.43165003,0.759017854,0.922851517,0.251943036,0.305766961,71946.23916,16713.56514,8748.9504,25795.75143,20687.96892
13,14,30,0.167859507,0.160752068,0.718246919,0.7515927,0.471727136,0.48951108,0.394532997,0.261215585,0.435971032,0.345027931,0.843296819,0.840891016,0.299636356,0.326078242,64392.94464,9957.82035,15286.08588,24359.6361,14789.39904
14,15,120,0.149516612,0.168536024,0.62861735,0.588858468,0.688690776,0.672280611,0.451580677,0.437165543,0.42847502,0.602134985,0.722319227,0.765017397,0.35387884,0.29469841,67045.6602,12854.65122,7112.18787,30075.11214,17003.70897
15,16,160,0.187150843,0.170190077,0.615939973,0.491459353,0.748492172,0.797728566,0.442209174,0.356556192,0.441001966,0.380599083,0.878503678,0.697620389,0.298705709,0.338936711,72063.22341,18257.62644,7657.50615,21231.30885,24916.78197
16,17,290,0.121496008,0.207806861,0.649682094,0.624781549,0.649931319,0.514112725,0.476218987,0.480545079,0.601822291,0.508520619,0.620654634,0.828457341,0.322065275,0.352688817,68010.06168,6604.63482,13733.74167,17431.21569,30240.4695
17,18,350,0.142283555,0.201554895,0.474013191,0.593095332,0.49998201,0.369291308,0.436293997,0.475879945,0.577070299,0.613106625,0.778414495,0.958800237,0.302281807,0.297697023,59601.65889,8450.50077,19178.0595,18846.53709,13126.55826
18,19,140,0.143747904,0.214969159,0.714101154,0.708348987,0.806087839,0.387195378,0.277714623,0.401365971,0.482533292,0.498407804,0.837187895,0.600542283,0.326318259,0.335769213,76375.76154,20693.14206,7917.22917,28744.99386,19020.39318
19,20,190,0.136982147,0.127539939,0.716651573,0.605787791,0.559909265,0.662934374,0.433569091,0.508643209,0.454101211,0.434477419,0.524108426,0.752535758,0.277462417,0.32953586,47669.19018,10349.43228,6650.7876,10601.86974,20067.10383
20,21,20,0.180399092,0.190049045,0.811120808,0.521764796,0.581897604,0.4600395,0.474463068,0.51916603,0.586576265,0.387972835,0.81184947,0.819970527,0.302994276,0.372662089,71039.45508,11384.56059,15194.48991,26597.59467,17862.80664
21,22,270,0.175739443,0.17591875,0.676532847,0.676988311,0.676724758,0.741945754,0.477780721,0.47055438,0.37916301,0.443058804,0.739989398,0.617043551,0.357815849,0.294737132,74907.0345,8295.29676,10642.48641,21089.06058,34880.19075
